test_season,event_key,event,fold_id,rows,uniform_mae,weighted_mae,selected_mae,d_uniform_minus_weighted,current_season_prior_events,selected_policy,all_gates_pass,history_eligible,selection_reason,regime,cumulative_uniform_mae,cumulative_weighted_mae,cumulative_selected_mae,switch
2025,2025/sakhir,Sakhir,29,20,0.5684332662975182,0.5904007490313489,0.5684332662975182,-0.02196748273383057,2,uniform,False,False,cold_start,cold_start,0.475621025643935,0.47532735623584565,0.475621025643935,False
2025,2025/jeddah,Jeddah,30,20,0.34054624076845375,0.3179109689978268,0.34054624076845375,0.02263527177062697,3,uniform,False,False,cold_start,cold_start,0.4414248775741929,0.43547510630217,0.4414248775741929,False
2025,2025/imola,Imola,31,19,0.26632169016033663,0.27438915121365226,0.26632169016033663,-0.00806746105331558,4,uniform,False,False,cold_start,cold_start,0.40747630042252686,0.40424415582582474,0.40747630042252686,False
2025,2025/monaco,Monaco,32,20,0.6345453319354794,0.4700767935337159,0.4700767935337159,0.1644685384017634,5,current_season_only_with_prior,True,True,selected_after_prior_evidence,early_season,0.4459625769501459,0.4154022300136029,0.4180865534922199,True
2025,2025/barcelona,Barcelona,33,20,0.39085294025598416,0.24922371995262363,0.24922371995262363,0.14162922030336053,6,current_season_only_with_prior,True,True,selected_after_prior_evidence,early_season,0.4379756730814268,0.39131838797577984,0.3936136790661915,False
2025,2025/montreal,Montréal,34,20,0.43595026842187073,0.29753790223104887,0.29753790223104887,0.1384123661908219,7,current_season_only_with_prior,True,True,selected_after_prior_evidence,early_season,0.43771929274477417,0.37944744041315565,0.38145218832756583,False
2025,2025/spielberg,Spielberg,35,20,1.4663987483049157,0.29668946462826135,0.29668946462826135,1.1697092836766543,8,current_season_only_with_prior,True,True,selected_after_prior_evidence,early_season,0.5533012540436665,0.3701487914485607,0.3719282867883181,False
2025,2025/silverstone,Silverstone,36,20,0.36352203021830903,0.3608140339028903,0.3608140339028903,0.002707996315418759,9,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.5341316354754486,0.36920588664596776,0.3708056349817092,False
2025,2025/budapest,Budapest,37,20,0.47627625430324433,0.39577614118027926,0.39577614118027926,0.0805001131229651,10,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.528823802340384,0.3716435246766385,0.37309650711001835,False
2025,2025/zandvoort,Zandvoort,38,19,1.2982492080885193,0.3350158142382824,0.3350158142382824,0.963233393850237,11,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.5905076956282092,0.3687071259495129,0.37004362455911965,False
2025,2025/monza,Monza,39,20,0.23442571690088654,0.2238380862613007,0.2238380862613007,0.010587630639585816,12,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.5627970358050712,0.35743327072085823,0.35866576165656566,False
2025,2025/baku,Baku,40,20,2.6685868614026935,0.5709085917538017,0.5709085917538017,2.0976782696488923,13,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.7148396224908201,0.37284665130085415,0.3739901537213481,False
2025,2025/marina-bay,Marina Bay,41,20,0.42946269558963035,0.35422264229019473,0.35422264229019473,0.07524005329943555,14,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.6956223210159925,0.37159250927993437,0.37265900817042863,False
