test_season,event_key,step,stage_index,stage,forecast_hash
2024,2024/budapest,23,3,prior_gates_evaluated,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,4,selected_forecast_frozen,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,5,outcome_revealed,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,6,settled_for_next_event,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/zandvoort,24,0,legal_information_frozen,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,1,both_candidates_fitted,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,2,shadows_frozen,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,3,prior_gates_evaluated,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,4,selected_forecast_frozen,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,5,outcome_revealed,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,6,settled_for_next_event,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/monza,25,0,legal_information_frozen,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,1,both_candidates_fitted,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,2,shadows_frozen,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,3,prior_gates_evaluated,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,4,selected_forecast_frozen,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,5,outcome_revealed,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/monza,25,6,settled_for_next_event,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
2024,2024/yas-island,26,0,legal_information_frozen,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,1,both_candidates_fitted,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,2,shadows_frozen,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,3,prior_gates_evaluated,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,4,selected_forecast_frozen,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,5,outcome_revealed,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
2024,2024/yas-island,26,6,settled_for_next_event,a0a4c63b2a231d081b2a72a186fdfa2a86e404e59da5f6a0662691a4cc1838ea
